EngGamename,Serial,crc
Monster Race 2 (Japan) (SGB Enhanced),DMG-AMWJ,B985F0D8
Monster Rancher Battle Card GB (USA) (SGB Enhanced),DMG-A6TE-USA,50DDF120
Monster Rancher Explorer (USA),CGB-BSOE-USA,6C35E8F0
Monster Traveler (Japan) (Rev A),CGB-BFVJ,F60A376E
Monsters| Inc. (Europe) (En|Es|Nl),CGB-B4QP-EUR,63E3BBB4
Monsters| Inc. (Europe) (En|Fr|It),CGB-B4QP-EUR,712D40A5
Monsters| Inc. (Europe) (Rev A),CGB-B4QP-EUR,3726858A
Montezuma's Return! (Europe) (En|Fr|De|Es|It),DMG-AZMP-EUR,659693DE
Montezuma's Return! (USA) (En|Es),DMG-AZME-USA,DE04772F
Moomin no Daibouken (Japan),CGB-AM9J-JPN,BD29EE6F
Moomin's Tale (Europe) (En|Fr|De),CGB-AM9P-EUR,45543BA2
Moorhuhn 2 - Die Jagd geht weiter (Germany),CGB-BDED-NOE,ED52CEAF
Mortal Kombat 4 (Germany) (SGB Enhanced),DMG-A4KP-EUR,87588725
Mr Nutz (Europe) (En|Fr|De|Es|It|Nl),CGB-ANUP-EUR,4E37C741
Mr Nutz (USA) (En|Fr|Es),CGB-ANUE-USA,59F67529
Mr. Driller (Europe),CGB-BMDP-EUR,BDF9B05C
Mr. Driller (Japan),CGB-BMDJ-JPN,773729AF
Mr. Driller (USA),CGB-BMDE-USA,492C0EBF
Ms. Pac-Man - Special Colour Edition (Europe),DMG-AQCP-EUR,F2335DA9
Mummy Returns| The (Europe) (En|Fr|De|Es|It),CGB-B2RP-EUR,64052B9B
Mummy Returns| The (USA),CGB-B2RE-USA,C997F45B
Mummy| The (Europe) (En|Fr|De),CGB-BMYP-EUR,84FC838A
Mummy| The (USA),CGB-BMYE-USA,C6BA9F27
Muppets| The (Europe) (En|Fr|De|Es|It|Nl|Sv) (AP9P),CGB-AX9P-EUR,3204B92C
Muppets| The (Europe) (En|Fr|De|Es|It|Nl|Sv) (AX9P),CGB-AX9P-EUR,0FAFA3F2
Muppets| The (USA),CGB-BMUE-USA,3C476C6F
Muteki Ou Tri-Zenon (Japan),CGB-BZNJ-JPN,0BAB7A61
N.Y. Race (Europe) (En|Fr|De|Es|It|Pt),CGB-BNXP-EUR,62F560D8
NASCAR Challenge (USA) (Rumble Version),CGB-VNCE-USA,39C6B868
NASCAR Heat (USA),CGB-BNHE-USA,FA83B37C
NASCAR Racers (USA),CGB-BNRE-USA,F39A5C4F
NBA 3 on 3 featuring Kobe Bryant (USA) (SGB Enhanced),DMG-ACVE-USA,001F4754
NBA Hoopz (USA),CGB-BHIE-USA,5011A419
NBA In the Zone (USA) (Rev A) (SGB Enhanced),DMG-ANZE-USA,BE949F74
NBA In the Zone 2000 (USA),CGB-AJ7E-USA,FDB38C49
NBA Pro '99 (Europe) (SGB Enhanced),DMG-ANZP-EUR,748564AE
NBA Show Time - NBA on NBC (USA),CGB-AA5E-USA,7AE23888
NFL Blitz (USA),DMG-ABZE-USA,D731DED7
NFL Blitz 2000 (USA),CGB-AX2E-USA,090C7DAC
NFL Blitz 2001 (USA),CGB-BLIE-USA,61C653AE
NHL Blades of Steel (USA),CGB-ANEE-USA,A890ADB2
NHL Blades of Steel 2000 (USA),CGB-ANVE-USA,8BC5B62A
NSYNC - Get to the Show (USA),CGB-BNSE-USA,F770878B
Nakayoshi Cooking Series 1 - Oishii Cake-ya-san (Japan),CGB-B7CJ-JPN,E5C9569A
Nakayoshi Cooking Series 2 - Oishii Panya-san (Japan),CGB-B7PJ-JPN,B9FA3CE4
Nakayoshi Cooking Series 3 - Tanoshii Obentou (Japan),CGB-B7BJ-JPN,DD7666CE
Nakayoshi Cooking Series 4 - Tanoshii Dessert (Japan),CGB-B3DJ-JPN,7E5C8542
Nakayoshi Cooking Series 5 - Cake o Tsukurou (Japan),CGB-B3CJ-JPN,C04539F8
Nakayoshi Pet Series 1 - Kawaii Hamster (Japan),CGB-B2HJ-JPN,98D0FCB0
Nakayoshi Pet Series 2 - Kawaii Usagi (Japan),CGB-B7IJ-JPN,866095C2
Nakayoshi Pet Series 3 - Kawaii Koinu (Japan),CGB-B7IJ-JPN,FA4E9896
Nakayoshi Pet Series 4 - Kawaii Koneko (Japan),CGB-B7NJ-JPN,1A382367
Nakayoshi Pet Series 5 - Kawaii Hamster 2 (Japan),CGB-B2HJ-JPN,E5EC7BE5
Naminori Yarou! (Japan) (NP),CGB-BNYJ-JPN,AC5E477D
Net de Get - Minigame @ 100 (Japan),CGB-BMVJ-JPN,6E33D509
Network Boukenki Bugsite - Alpha Version (Japan),CGB-BAUJ-JPN,D65C8BA1
Network Boukenki Bugsite - Beta Version (Japan),CGB-BBUJ-JPN,56F52663
New Addams Family Series| The (Europe) (En|Fr|De|Es|It|Pt),CGB-BAIP-EUR,FBB97680
New Batman Adventures| The - Chaos in Gotham (Europe) (En|Fr|De|Es|It|Nl),CGB-BBBP-EUR,E025067B
New Batman Adventures| The - Chaos in Gotham (USA),CGB-BBBE-USA,B241A4F3
Nicktoons Racing (USA),CGB-BNTE-USA,A3F079D4
Nintama Rantarou - Ninjutsu Gakuen ni Nyuugaku Shiyou no Dan (Japan),CGB-BNAJ-JPN,4631D8BF
Nisemon Puzzle da Mon! - Feromon Kyuushutsu Daisakusen! (Japan),CGB-BNPJ-JPN,2F7D62F3
No Fear - Downhill Mountain Biking (Europe),CGB-BKFP-EUR,0F69F574
Nobunaga no Yabou - Game Boy Ban 2 (Japan) (SGB Enhanced),DMG-AGYJ-JPN,233862D0
Noddy and the Birthday Party (Europe) (En|Fr|De|Es),CGB-AZEP-EUR,845B4E44
Nushi Tsuri Adventure - Kite no Bouken (Japan) (Rumble Version),CGB-VVJJ-JPN,AC52F6EF
O'Leary Manager 2000 (Europe) (En|Fr|De|Es|It|Nl|Ca),CGB-BUIP,3485761A
Oddworld Adventures II (Europe) (En|Fr|De|Es|It),DMG-AOWP-EUR,4B83B14F
Oddworld Adventures II (USA) (En|Fr|De|Es|It),DMG-AOWE-USA,5C260D5A
Ohasuta Dance Dance Revolution GB (Japan),CGB-BD5J-JPN,E338C118
Ohasuta Yama-chan & Raymond (Japan) (SGB Enhanced),DMG-AOSJ-JPN,840EF32F
Oide Rascal (Japan),CGB-BLSJ,9E0799F4
Ojarumaru - Mangan Jinja no Ennichi de Ojaru! (Japan),DMG-BOJJ-JPN,D86507C9
Ojarumaru - Tsukiyo ga Ike no Takaramono (Japan),DMG-BORJ-JPN,ED7461D2
Original Moorhuhn Jagd| Die (Germany),CGB-BOMD-NOE,714EC204
Othello Millennium (Japan),DMG-AO7J-JPN,C7800576
Other Life - Azure Dreams GB (Japan) (SGB Enhanced),DMG-AAZJ-JPN,C6F1ABD4
Ottifanten - Kommando Stoertebeker (Germany),CGB-BOTD-NOE,3EAC3D1C
Ou Dorobou Jing - Angel Version (Japan) (SGB Enhanced),DMG-AZWJ-JPN,D47C0DCF
Ou Dorobou Jing - Devil Version (Japan) (SGB Enhanced),DMG-AZKJ-JPN,2A39A874
Owarai Yoiko no Geemumichi - Oyaji Sagashite 3 Choume (Japan) (SGB Enhanced),DMG-AYIJ-JPN,3F635A4F
Pac-Man - Special Color Edition (USA) (SGB Enhanced),DMG-AACE-USA,3485EF86
Pac-Man - Special Colour Edition (Europe),DMG-AACP-EUR,F565647F
Pachinko CR Mouretsu Genshijin T (Japan),DMG-AXAJ-JPN,F75E269E
Pachinko Hisshou Guide - Data no Ousama (Japan),DMG-AYEJ-JPN,1A631BAB
Pachipachi Pachisurou - New Pulsar Hen (Japan) (SGB Enhanced),DMG-ANPJ-JPN,1E443D1B
Papyrus (Europe) (En|Fr|De|Es|It|Nl),CGB-AY9P-EUR,DA3A3278
Perfect Choro Q (Japan),CGB-BPQJ-JPN,AFA1AAC3
Phantom Zona (Japan) (SGB Enhanced),DMG-BKZJ-JPN,3E43F25F
Pia Carrot e Youkoso!! 2.2 (Japan),CGB-B22J-JPN,2267360B
Pitfall GB (Japan),DMG-AFLJ-JPN,FA09CEBE
Planet of the Apes (Europe) (En|Fr|De|Es|It|Nl),CGB-BYNP-EUR,A92DCB79
Planet of the Apes (USA) (En|Fr|De|Es|It|Nl),CGB-BYNE-USA,91D7CCCA
Player Manager 2001 (Europe) (En|Fr),CGB-BFB,375C35E0
Pocket Billiards - Funk the 9 Ball (Japan),CGB-A9BJ-JPN,3B46E7C9
Pocket Bowling (Japan),DMG-AVBJ-JPN,26589B79
