EngGamename,Serial,crc
Roland Garros French Open (Europe) (En|Fr|De|Es|It|Nl),CGB-BRGP-EUR,10DBDE7C
Ronaldo V-Football (Europe) (En|Fr|De|Es|It|Nl|Pt),DMG-AORP,A856C066
Ronaldo V-Soccer (USA) (En|Fr|Es|Pt),DMG-AORE-USA,D0204F10
Roswell Conspiracies - Aliens| Myths & Legends (USA) (En|Fr|De),CGB-BCPE-USA,1F5EC131
Rox (Japan),DMG-ARXJ-JPN,4BD73D99
Rugrats - Typisch Angelica (Germany),CGB-BAGP-EUR,026C4794
Rugrats Movie| The (Europe) (SGB Enhanced),DMG-ARZP,B4091600
Rugrats Movie| The (USA) (SGB Enhanced),DMG-ARQE-USA,FEBE2606
Rugrats in Paris - The Movie (Europe) (En|Es),CGB-BRPP-EUR,35323432
SD Hiryuu no Ken EX (Japan) (SGB Enhanced),DMG-AUXJ-JPN,365BF43F
Sabrina - The Animated Series - Zapped! (Europe) (En|Fr|De),CGB-BSGP-EUR,818F3AF6
Sakata Gorou Kudan no Renju Kyoushitsu (Japan) (SGB Enhanced),DMG-AREJ-JPN,B5412C6F
Samurai Kid (Japan),CGB-BS5J-JPN,44A9DDFB
Sangokushi - Game Boy Ban 2 (Japan) (SGB Enhanced),DMG-AS9J-JPN,E787B44C
Sanrio Timenet - Kako Hen (Japan) (SGB Enhanced),DMG-ATPJ-JPN,458B579D
Sanrio Timenet - Mirai Hen (Japan) (SGB Enhanced),DMG-ATFJ-JPN,EFE51E17
Santa Claus Junior (Europe),CGB-B3JP-EUR,A744DF64
Saru Puncher (Japan) (SGB Enhanced),DMG-BSPJ-JPN,B02564FC
Scrabble (Europe),CGB-B9QP-EUR,998657B7
Sei Hai Densetsu (Japan) (SGB Enhanced),DMG-AEOJ-JPN,612F0529
Seme COM Dungeon - Drururuaga (Japan),DMG-BV6J-JPN,0B1B928C
Senkai Ibunroku Juntei Taisen - TV Animation Senkaiden Houshin Engi Yori (Japan) (SGB Enhanced),DMG-BHSJ-JPN,23FA5F53
Sesame Street Sports (USA),CGB-BSOE-USA,4ED4AAFA
Sgt. Rock - On the Frontline (USA),CGB-BRFE-USA,521A2F77
Shadowgate Return (Japan),DMG-ASWJ-JPN,1BCD7D70
Shaman King Card Game - Chou Senjiryakketsu - Funbari Hen (Japan),CGB-BQUJ-JPN,EF10272E
Shaman King Card Game - Chou Senjiryakketsu - Meramera Hen (Japan),CGB-BQVJ-JPN,5730393D
Shanghai Pocket (USA) (SGB Enhanced),DMG-AHPE-USA,9401BA47
Shantae (USA),CGB-B3AE-USA,E994B59B
Shin Megami Tensei Devil Children - Aka no Sho (Japan) (SGB Enhanced),DMG-BHNJ-JPN,F90C4977
Shin Megami Tensei Devil Children - Kuro no Sho (Japan) (SGB Enhanced),DMG-BHEJ-JPN,55B9AF51
Shin Megami Tensei Devil Children - Shiro no Sho (Japan),CGB-BHWJ-JPN,39A10855
Shin Megami Tensei Trading Card - Card Summoner (Japan),CGB-BT8J-JPN,85264877
Shinseiki Evangelion - Mahjong Hokan Keikaku (Japan),CGB-BQRJ-JPN,5337FF55
Shougi 2 (Japan),DMG-AS8J-JPN,A7748D2B
Shougi 3 (Japan),DMG-B9SJ-JPN,64B479FA
Shutokou Racing| The (Japan) (SGB Enhanced),DMG-ASUJ-JPN,36E781CD
Smurfs Nightmare| The (Europe) (En|Fr|De|Es),CGB-P-ASNP,6F97B043
Smurfs Nightmare| The (USA),CGB-ASNE-USA,B50CAFE4
Snobow Champion (Japan),CGB-B5CJ-JPN,846FEA2B
Snoopy Tennis (Europe) (En|Fr|De|Es|It|Nl),CGB-BS9P-EUR,8C2D9B43
Snoopy Tennis (Japan),CGB-BS9J-JPN,D088EEFD
Snoopy Tennis (USA) (En|Fr|Es),CGB-BS9E-USA,D882ECCC
Snow White and the Seven Dwarfs (USA),CGB-B7DE-USA,8DD38534
Soccer Manager (Europe) (En|Fr|De|Es),CGB-BSMP-EUR,237ECEF9
Solomon (Japan),CGB-BSOJ-JPN,6AEE0958
Soreike! Anpanman - 5-tsu no Tou no Ousama (Japan),CGB-BS2J-JPN,C9A25B0C
Soreike! Anpanman - Fushigi na Nikoniko Album (Japan) (SGB Enhanced),DMG-AANJ-JPN,A80EEEAD
Soukoban Densetsu - Hikari to Yami no Kuni (Japan) (SGB Enhanced),DMG-AWIJ,081D7FCB
Soul Getter - Houkago Bouken RPG (Japan),DMG-AL9J-JPN,3FFCD45B
Space Invaders X (Japan),DMG-BSIJ-JPN,C016BC79
Space Marauder (USA),CGB-AZYE-USA,4F83B35E
Space-Net - Cosmo Blue (Japan),CGB-BNBJ-JPN,F606D369
Space-Net - Cosmo Red (Japan),CGB-BREJ-JPN,01F96353
Spacestation Silicon Valley (Europe) (En|Fr|De|Es|It|Nl|Sv),DMG-AV2P-EUR,63353C0F
Spawn (USA),CGB-AAWE-USA,72FCB0AD
Spider-Man (France),CGB-BSEP-NOE,F6334DC5
Spider-Man (Japan),CGB-BSEJ-JPN,5A83DFC4
Spirou Robbedoes - The Robot Invasion (Europe) (En|Fr|De|Es|It|Nl|Da),CGB-BSCP-EUR,3E9BC90B
Spy vs. Spy (Europe) (En|Fr|De|Es|It|Nl|Sv),CGB-AS6P-EUR,713C6C17
Spy vs. Spy (USA),CGB-AS6E-USA,F0463D51
Star Ocean - Blue Sphere (Japan) (SGB Enhanced),DMG-BO2J-JPN,8C7DDBDA
Star Wars Episode I - Obi-Wan's Adventures (USA),CGB-BOWE-USA,0E697582
Stranded Kids (Europe) (En|Fr|De) (SGB Enhanced),DMG-AVKP-EUR,816A4D94
Street Fighter Alpha - Warriors' Dreams (Europe),CGB-AFZP-EUR,28A3AB3A
Street Fighter Alpha - Warriors' Dreams (Japan),CGB-BFZJ-JPN,32739B34
Street Fighter Alpha - Warriors' Dreams (USA),CGB-AFZE-USA,AA5F14D2
Stuart Little - The Journey Home (Europe) (Fr|De),CGB-BGIP-EUR,ACB08666
Super Black Bass - Real Fight (Japan) (Rumble Version),CGB-VRFJ-JPN,B7F77B6A
Super Bombliss DX (Japan) (En) (SGB Enhanced),DMG-A2OJ-JPN,34C8A4A5
Super Breakout! (Europe) (En|Fr|De|Es|It|Nl),DMG-AOTP-EUR,6833923D
Super Breakout! (USA),DMG-AOTE-USA,52F51CB5
Super Chinese Fighter EX (Japan),CGB-A66J-JPN,DCDAA333
Super Doll Licca-chan - Kisekae Daisakusen (Japan),CGB-BSLJ-JPN,DF50473F
Super Gals! Kotobuki Ran (Japan),CGB-BGLJ-JPN,90379C16
Super Gals! Kotobuki Ran 2 - Miracle Getting (Japan),CGB-BGLJ-JPN,E77FA0F2
Super Mario Bros. Deluxe (Japan) (NP),CGB-AHYJ-JPN,866B1212
Super Me-Mail GB - Me-Mail Bear no Happy Mail Town (Japan),CGB-BHAJ-JPN,315CAA18
Super Nenas| Las - El Malvado Mojo Jojo (Spain),CGB-BJJP-EUR,EFE652BF
Super Nenas| Las - Lucha Con Ese (Spain),CGB-BBHP-EUR,7BA87C11
Super Nenas| Las - Panico en Townsville (Spain),CGB-BPTP-EUR,03EDB574
Super Real Fishing (Japan) (Rumble Version),CGB-VPFJ-JPN,00865161
Super Robot Pinball (Japan),CGB-BSUJ-JPN,6E330FCD
Super Robot Taisen - Link Battler (Japan) (SGB Enhanced),DMG-AL6J-JPN,D24E592D
Supreme Snowboarding (Europe) (En|Fr|De),CGB-AXWP-NOE,53B1E661
Survival Kids (USA) (SGB Enhanced),DMG-AVKE-USA,C46ABA56
Survival Kids - Kotou no Boukensha (Japan) (SGB Enhanced),DMG-AVKJ-JPN,19C2BD07
Survival Kids 2 - Dasshutsu!! Futago-Jima! (Japan) (SGB Enhanced),DMG-B2VJ-JPN,AB8B25D8
Sweet Ange (Japan) (SGB Enhanced),DMG-AUBJ-JPN,4BE9B159
Swing (Germany),CGB-BSWD-NOE,7041929D
Sylvanian Families - Otogi no Kuni no Pendant (Japan) (SGB Enhanced),DMG-ALVJ-JPN,C6FE4497
Sylvanian Families 2 - Irozuku Mori no Fantasy (Japan),CGB-BLVJ-JPN,F82D391F
Sylvanian Families 3 - Hoshi Furu Yoru no Sunadokei (Japan),CGB-BL3J-JPN,ABF32B8B
Sylvanian Melodies - Mori no Nakama to Odori Masho! (Japan) (SGB Enhanced),DMG-BMKJ-JPN,6DD8AC91
Sylvester and Tweety - Breakfast on the Run (Europe) (En|Fr|De|Es|It|Nl),DMG-AYRP-EUR,6BB3B0DC
TNN Outdoors Fishing Champ (USA) (SGB Enhanced),DMG-AFCE-USA,00A14D18
Tabaluga (Germany),DMG-ALUP-EUR,F09F92D7
Taito Memorial - Bubble Bobble (Japan) (SGB Enhanced),DMG-AVWJ-JPN,388C6760
Taito Memorial - Chase H.Q. - Secret Police (Japan) (SGB Enhanced),DMG-AH9J-JPN,6A0C272D
Tales of Phantasia - Narikiri Dungeon (Japan) (SGB Enhanced),DMG-AN6J-JPN,725CF31C
Tarzan (France),CGB-ATHP-EUR,C503AFBB
Tarzan (Germany),CGB-ATHP-EUR,39D04581
Tarzan (Japan),CGB-BTHJ-JPN,F2005973
Taxi 2 (France),CGB-BT2F-FRA,0FD9FFF0
Taxi 3 (France),CGB-BXIF-FRA,2838996F
Tazmanian Devil - Munching Madness (Europe) (En|Fr|De|Es|It),DMG-AVZP-EUR,683752A0
Tazmanian Devil - Munching Madness (USA) (En|Fr|De|Es|It),DMG-ATIE-USA,3611D0D8
Test Drive 2001 (USA),CGB-BTEE-USA,BB894EC7
Test Drive 6 (Europe) (En|Fr|De|Es|It),DMG-AW6P-EUR,13691CEB
Test Drive 6 (USA),DMG-AW6E-USA,5CE00547
Test Drive Cycles (USA),CGB-BTDE-USA,E32BB06F
Test Drive Le Mans (USA) (En|Fr|Es),CGB-B24E-USA,E6D6AC8F
Test Drive Off-Road 3 (USA) (Rumble Version) (SGB Enhanced),DMG-VQ3E-USA,0FDD5B9E
Tetris Adventure - Susume Mickey to Nakama-tachi (Japan),CGB-AT7J-JPN,EAF6E4F2
Tetris DX (World) (SGB Enhanced),DMG-ATEA-USA,69989152
Three Lions (Europe) (En|Fr|De|Es|It|Nl|Sv),DMG-AAFP-UKV,1CBEA1AA
Thunderbirds (Europe),CGB-BTNP-EUR,B5BECECF
Thunderbirds (Europe) (En|Fr|De|Es|It),CGB-BTNP-EUR,36536324
Tintin - Prisoners of the Sun (Europe) (En|Fr|De),CGB-BTTP-EUR,B2205D49
Tiny Toon Adventures - Buster Saves the Day (Europe) (En|Fr|De|Es|It),CGB-BUSP-EUR,7AA371ED
Tiny Toon Adventures - Buster Saves the Day (USA),CGB-BUSE-USA,800EFB3D
Tiny Toon Adventures - Dizzy's Candy Quest (Europe) (En|Fr|De|Es|It|Nl),CGB-BDQP-EUR,5A0D41AA
Titi - Le Tour du Monde en 80 Chats (France),CGB-BTWP-EUR,CE55ED18
Titus the Fox to Marrakech and Back (Europe),DMG-BFXP-EUR,2F9F19DE
Titus the Fox to Marrakech and Back (USA),DMG-BFXE-USA,BA70D28F
Tokoro-san no Setagaya C.C. (Japan),DMG-BGBJ-JPN,9139E307
Tom and Jerry - Mousehunt (Europe) (En|Fr|De|Es|It),CGB-BTJP-EUR,3E17D04A
Tom and Jerry - Mousehunt (USA) (En|Fr|Es),CGB-BTJE-USA,5FC6BEC0
Tom and Jerry in Mouse Attacks! (Europe) (En|Fr|De|Es|It|Nl|Da),CGB-BTOP-EUR,9D9C84F4
Tom and Jerry in Mouse Attacks! (USA),CGB-BTOE-USA,38CE3F76
Tonic Trouble (Europe) (En|Fr|De|Es|It|Nl),CGB-AXTP-EUR,A8628F7A
Tonka Construction Site (USA),CGB-BCZE-USA,8142A3E8
Tonka Raceway (Europe),CGB-ATQP-EUR,E108B2C2
Tonka Raceway (USA),CGB-ATQE-USA,BC07F4FB
Tonka Raceway (USA) (Rumble Version),CGB-ATQE-USA,A5AF4B28
Toobin' (USA),CGB-AOIE-USA,3D6B598C
Toonsylvania (USA),CGB-BSYE-USA,096D0C27
Top Gear Pocket (Japan) (Rumble Version),CGB-VGRJ,EBCCA3DA
Top Gear Pocket (USA) (Rumble Version),CGB-VGRE,84499FC1
Top Gear Pocket 2 (Japan) (Rumble Version),CGB-V33J-JPN,1845F25A
Top Gear Rally (Europe) (Rumble Version),CGB-VGRP,337E5DD3
Totsugeki! Papparatai (Japan) (SGB Enhanced),DMG-APHJ-JPN,0AEAE8FB
Tottoko Hamutarou - Tomodachi Daisakusen Dechu (Japan),CGB-BHTJ-JPN,19EB4516
Tottoko Hamutarou - Tomodachi Daisakusen Dechu (Japan) (Rev A),CGB-BHTJ-JPN,D549E074
Tottoko Hamutarou 2 - Hamu-chan Zu Daishuugou Dechu (Japan),DMG-B86J-JPN,F1FBCF84
Toy Story Racer (Europe) (En|Fr|De),CGB-BT5P-EUR,F660ED94
Trick Boarder (USA),CGB-BTBE-USA,E856DC3D
Trickboarder GP (Japan),CGB-BTBJ-JPN,31740097
Trouballs (USA),CGB-BBEE-USA,260EED04
Tsuri Sensei 2 (Japan) (SGB Enhanced),DMG-AF2J-JPN,1BE00A6E
Tsuriiko!! (Japan),CGB-BAFJ-JPN,6F2CBD1D
Turok 2 - Seeds of Evil (Japan),DMG-A2TJ-JPN,F095B446
Tweenies - Doodles' Bones (Europe) (En|De|Es|It),CGB-B2ZP-EUR,9306EDD0
Tweenies - Doodles' Bones (Europe) (En|Nl|Sv|No|Da),CGB-B2ZP-EUR,C7B61220
Tweety Sekaiisshuu - 80 Hiki no Neko o Sagase! (Japan),CGB-BTWJ-JPN,147F427A
Tweety's High-Flying Adventure (Europe) (En|Es|It),CGB-BTWP-EUR,CA9E5385
Tweety's High-Flying Adventure (Europe) (En|Fr|De),CGB-BTWP-EUR,7361D6BC
Tweety's High-Flying Adventure (USA),CGB-BTWE-USA,4E226396
Tyco RC - Racin' Ratz (USA),CGB-BTIE-USA,D6881014
UEFA 2000 (Europe) (En|Fr|De|Es|It|Nl),CGB-BUEP-NOE,4B314D4B
Uchuujin Tanaka Tarou de RPG Tsuku-ru GB 2 (Japan),CGB-B3QJ-JPN,219E42E3
Ultimate Fighting Championship (Europe),CGB-BUCP-EUR,92A5A1AD
Ultimate Fighting Championship (USA),CGB-BUCE-USA,D5F036CE
Ultimate Surfing (Europe),CGB-BSUP-EUR,B3398A9B
Ultimate Surfing (USA),CGB-BSUE-USA,E84DF1F0
Uno (Europe) (En|Fr|De|Es|It|Nl),DMG-AUNP,70760CCE
Uno (USA),DMG-AUNE-USA,F026D509
V-Rally - Championship Edition (Europe) (En|Fr|De|Es),CGB-AVYP-EUR,1312B3F7
V-Rally - Championship Edition (Japan),CGB-AVLJ-JPN,FAB9D941
V-Rally - Championship Edition (USA) (En|Fr|Es),CGB-AVLE-USA,DA300C6C
VIP (USA) (En|Fr|Es),CGB-BVIE-USA,436C87D4
VS Lemmings (Japan),CGB-ALEJ-JPN,947D45AE
Vegas Games (USA),CGB-AVFE-USA,40B5EA96
Vigilante 8 (USA) (Rumble Version),CGB-VV8E-USA,D1A188DC
Visiteurs| Les (France),CGB-AY9P-EUR,D843F898
Wacky Races (USA) (En|Fr|Es),CGB-AW9E-USA,543ABB1B
Walt Disney World Quest - Magical Racing Tour (Europe) (Fr|De|Es),CGB-BWDP-EUR,E54B22B9
Warau Inu no Bouken - Silly Go Lucky! (Japan),CGB-BWBJ-JPN,E93F1582
Wario Land 2 (Japan) (SGB Enhanced),DMG-AW2J-JPN,B30FDBF5
Wario Land 3 (World) (En|Ja),CGB-AW8A-USA,480D0259
Warlocked (USA),CGB-BWLE-USA,CFA0DF0F
Warriors of Might and Magic (USA) (En|Fr|De),CGB-BMME-USA,EF9F5BEA
Watashi no Kitchen (Japan),CGB-BKRJ-JPN,BC767B25
Watashi no Kitchen (Japan) (Rev A),CGB-BKRJ-JPN,584669E4
Watashi no Restaurant (Japan),CGB-BWNJ-JPN,395003EF
Wetrix GB (Europe) (En|Fr|De),CGB-BWXP-EUR,9CBFAA3D
Wetrix GB (Japan) (SGB Enhanced),DMG-AW5J-JPN,6215C5B3
Who Wants to Be a Millionaire - 2nd Edition (USA),CGB-BMOE-USA,6830B7AF
Wild Thornberrys| The - Rambler (USA),CGB-BWTE,0E1465CB
Wings of Fury (Europe) (En|Fr|De),DMG-AFXP-EUR,6D59104F
Wings of Fury (USA),DMG-AFAE-USA,C94A413A
Winnie the Pooh - Adventures in the 100 Acre Wood (USA),CGB-BPOE-USA,066A2196
Wizardry Empire (Japan),CGB-AEWJ-JPN,7ADC90E1
Wizardry Empire (Japan) (Rev A),CGB-AEWJ-JPN,FA82620F
Wizardry Empire - Fukkatsu no Tsue (Japan),CGB-BFTJ-JPN,1A10552B
Wizardry I - Proving Grounds of the Mad Overlord (Japan),CGB-BWIJ-JPN,A99A33DC
Wizardry II - Llylgamyn no Isan (Japan),CGB-BW2J-JPN,DD727F1A
Wizardry III - Diamond no Kishi (Japan),CGB-BW3J-JPN,D44D3596
Woody Woodpecker (USA),CGB-BWPE-USA,BD2D1F8B
Woody Woodpecker Racing (Europe),CGB-BWRP-EUR,B0F43498
Woody Woodpecker Racing (USA),CGB-BWRE-USA,0424CF43
Woody Woodpecker no Go! Go! Racing (Japan),CGB-BWRJ-JPN,F59DAA99
World Destruction League - Thunder Tanks (USA) (En|Fr|De),CGB-BBTE-USA,1A0BF4D7
World Soccer GB 2000 (Japan),CGB-BWSJ-JPN,6775B29E
World Soccer GB2 (Japan) (SGB Enhanced),DMG-AWZJ-JPN,DD18DB5F
Worms Armageddon (Europe) (En|Fr|De|Es|It|Nl),CGB-AAOP-EUR,CB04F34D
Worms Armageddon (USA) (En|Fr|Es),CGB-AAOE-USA,E241EDDE
X-Men - Mutant Academy (Japan),CGB-BXAJ-JPN,8162ADC1
X-Men - Wolverine's Rage (Europe),CGB-BWOP-EUR,83AD5B99
X-Men - Wolverine's Rage (USA),CGB-BWOE-USA,12FC1A6E
Xtreme Sports (USA),CGB-BXGE-USA,19828751
Xtreme Wheels (USA),CGB-BXCE-USA,129465DB
Yakouchuu GB (Japan),CGB-AYTJ-JPN,AA05DAF1
Yogi Bear - Great Balloon Blast (USA),CGB-BBXE-USA,F817E978
Yu-Gi-Oh! - Dark Duel Stories (Europe),CGB-BY3P-EUR,338E2CDA
Yu-Gi-Oh! - Dark Duel Stories (USA),CGB-BY3E-USA,803A56AE
Yu-Gi-Oh! - Das Dunkle Duell (Germany),CGB-BY3P-EUR,6CA75BA0
Yu-Gi-Oh! - Duel des Tenebres (France),CGB-BY3P-EUR,5B72BAB5
Yu-Gi-Oh! - Duelo en las Tinieblas (Spain),CGB-BY3P-EUR,DC160F10
Yu-Gi-Oh! - Monster Capsule GB (Japan) (SGB Enhanced),DMG-AYCJ-JPN,1371E872
Yu-Gi-Oh! - Racconti Oscuri (Italy),CGB-BY3P-EUR,8A6B0948
Yu-Gi-Oh! Duel Monsters II - Dark Duel Stories (Japan) (SGB Enhanced),DMG-AYKJ-JPN,BA7182C3
Yu-Gi-Oh! Duel Monsters III - Tri Holy God Advant (Japan),CGB-BY3J-JPN,9F9DBAB4
Zebco Fishing! (USA) (Rumble Version),CGB-VZFE-USA,3CC6B1F9
Zelda no Densetsu - Fushigi no Kinomi - Daichi no Shou (Japan),CGB-AZ7J-JPN,E42538F0
Zelda no Densetsu - Fushigi no Kinomi - Jikuu no Shou (Japan),CGB-AZ8J-JPN,3272E6F9
Zelda no Densetsu - Yume o Miru Shima DX (Japan) (Rev A) (SGB Enhanced),DMG-AZLJ-JPN,BD8A1041
Zelda no Densetsu - Yume o Miru Shima DX (Japan) (Rev B) (SGB Enhanced),DMG-AZLJ-JPN,E998E595
Zelda no Densetsu - Yume o Miru Shima DX (Japan) (SGB Enhanced),DMG-AZLJ-JPN,D974ABEA
Zen-Nihon Shounen Soccer Taikai - Mezase Nihon Ichi! (Japan),CGB-BJFJ,EFAD8B34
Zoboomafoo - Playtime in Zobooland (USA),CGB-BZBE-USA,38D91885
Zoids - Jashin Fukkatsu! Genobreaker Hen (Japan) (Rev A) (SGB Enhanced),DMG-BGZJ-JPN,96461918
Zoids - Jashin Fukkatsu! Genobreaker Hen (Japan) (SGB Enhanced),DMG-BGZJ-JPN,F36C874D
Zoids - Shirogane no Juukishin Liger Zero (Japan),CGB-BZ2J-JPN,530705A1
Zok Zok Heroes (Japan),CGB-BZHJ-JPN,C09F9E1B
