Internalname,Serial,EngGamename,ChiGamename
F-ZERO ADVAN,AGB-AFZJ-JPN,F-Zero (J),最高时速赛车 F-Zero(JP)(Nintendo)
SUPER MARIOA,AGB-AMAJ-JPN,Super Mario Advance (J),超级马里奥A Super Mario Advance(JP)(Nintendo)
ROCKMAN_EXE,AGB-AREJ-JPN,Battle Network RockMan EXE (J),洛克人-网络战斗EXE1 Battle Network Rockman EXE(JP)(Capcom)
KURURIN,AGB-AKRJ-JPN,Kuru Kuru Kururin (J),滚滚棒 Kurukuru Kururin(JP)(Nintendo)
MR. DRILLER2,AGB-AD2J-JPN,Mr. Driller 2 (J),钻地先生2 Mr. Driller 2(JP)(Namco)
CHUCHUROCKET,AGB-ACRJ-JPN,Chu Chu Rocket! (J),咕噜咕噜火箭! Chu Chu Rocket!(JP)(M5)(Sega)
DRACULA AGB1,AGB-AAMJ-JPN,Akumajou Dracula - Circle of the Moon (J),恶魔城-月之轮回 Akumajou Dracula – Circle of the Moon(JP)(Konami)
ADVANCE GTA,AGB-AG7J-JPN,Advance GTA (J),GTA职业概念赛车1 Advance GTA(JP)(MTO)
WAIWAI,AGB-AKWJ-JPN,Konami Wai Wai Racing Advance (J),科纳米哇哇赛车 Konami Wai Wai Racing Advance(JP)(Konami)
DODGEBALL F,AGB-ADFJ-JPN,Bakunetsu Dodge Ball Fighters (J),超级躲避球A Bakunetsu Dodge Ball Fighters(JP)(Atlus)
PINOBEE,AGB-APBJ-JPN,Pinobee no Daibouken (J),匹诺比之大冒险 Pinobee no Daibouken(JP)(Hudson)
PAWAPOKE3,AGB-AP3J-JPN,Power Pro Kun Pocket 3 (J),实况Q版口袋棒球3 Power Pro Kun Pocket 3(JP)(Konami)
NAPOLEON,AGB-ANPJ-JPN,Napoleon (J),拿破仑 Napoleon(JP)(Nintendo)
GT-CHAMP,AGB-AGTJ-JPN,Zen-Nippon GT Senshuken (J),全日本顶级GT锦标赛车 Zen-Nippon GT Senshuken(JP)(Kemco)
FPA,AGB-AFPJ-JPN,Fire Pro Wrestling A (J),火炎职业摔跤A Fire Pro Wrestling A(JP)(Spike)
TWEETY PARTY,AGB-AMJJ-JPN,Tweety to Hearty Party (J),托蒂的欢乐派对之不可思议的宝石 Tweety no Hearty Party(JP)(Kemco)
GOLFMASTER,AGB-AGRJ-JPN,JGTO Golf Master - Japan Tour Golf Game (J),高尔夫大师 JGTO Kounin Golf Master – Japan Golf Tour Game(JP)(Konami)
WINNINGPOST,AGB-AWPJ-JPN,Winning Post (J),冠军赛马 Winning Post(JP)(Koei)
SILENT HILL,AGB-ASHJ-JPN,Play Novel - Silent Hill (J),寂静岭 Silent Hill – Play Novel(JP)(Konami)
YU-GI-OH DDM,AGB-AYDJ-JPN,Yu-Gi-Oh! Dungeon Dice Monsters (J),游戏王-地牢方块妖怪 Yu-Gi-Oh! Dungeon Dice Monsters(JP)(Konami)
BOKUKAN AGB ,AGB-ABCJ-JPN,Boku wa Koukuu Kanseikan (J),我是航空管制官 Boku ha Koukuu Kanseikan(JP)(TAM)
JPOCKET,AGB-AJPJ-JPN,J-League Pocket (J),J联盟足球口袋版 J.League Pocket(JP)(Konami)
MOMO MATSURI,AGB-AMMJ-JPN,Momotarou Matsuri (J),桃太郎祭典 Momotarou Matsuri(JP)(Hudson)
MONSTERGUARD,AGB-AMNJ-JPN,Monster Guardians (J),妖怪守护者 Monster Guardians(JP)(Konami)
SUPER MARIOA,AGB-AMZE-USA,Super Mario Advance (U),超级马里奥A Super Mario Advance(UE)(Nintendo)
FINAL FIGHT,AGB-AFFJ-JPN,Final Fight One (J),快打旋风ONE Final Fight One(JP)(Capcom)
BOMSTORY,AGB-ABSJ-JPN,Bomberman Story (J),炸弹人传说 Bomberman Story(JP)(Hudson)
IRIDION3D,AGB-AI3E-USA,Iridion 3D (U),伊登战机 Iridion 3D(UE)(Majesco Sales)
PINOBEE,AGB-APBE-USA,Pinobee - Wings of Adventure (U),匹诺比的冒险徽章 Pinobee – Wings of Adventure(UE)(Activision)
R2RBOXING R2,AGB-AR2E-USA,Ready 2 Rumble Boxing - Round 2 (U),暴力拳击2 Ready 2 Rumble Boxing – Round 2(US)(Midway)
KRAZY RACERS,AGB-AKWE-USA,Konami Krazy Racers (U),科纳米疯狂赛车手 Konami Krazy Racers(US)(Konami)
DRACULA AGB1,AGB-AAMP-EUR,Castlevania - Circle of the Moon (E),恶魔城-月之轮回 Castlevania – Circle of the Moon(EU)(Konami)
TONY HAWK 2!,AGB-ATHE-USA,Tony Hawk's Pro Skater 2 (U),托尼·霍克职业滑板2 Tony Hawk's Pro Skater 2(UE)(Activision)
GT ADVANCE C,AGB-ACAE-USA,GT Advance - Championship Racing (U),GT职业概念锦标赛车 GT Advance – Championship Racing(US)(THQ)
NAMCOMUSEUM,AGB-ANME-USA,Namco Museum (U),南梦宫的博物馆 Namco Museum(US)(Namco)
CHUCHUROCKET,AGB-ACRE-USA,Chu Chu Rocket! (U),咕噜咕噜火箭 Chu Chu Rocket!(US)(M5)(Sega)
EWJ,AGB-AEJE-USA,Earthworm Jim (U),蚯蚓吉姆 Earthworm Jim(UE)(Majesco Sales)
PITFALL,AGB-APFE-USA,Pitfall - The Mayan Adventure (U),玛亚历险 Pitfall – The Mayan Adventure(UE)(Majesco Sales)
ARMY MEN ADV,AGB-ASAE-USA,Army Men Advance (U),玩具军人 Army Men Advance(UE)(M5)(3DO)
SUPERDODGE,AGB-ADFE-USA,Super Dodge Ball Advance (U),超级躲避球A Super Dodge Ball Advance(US)(Atlus)
F-ZERO ADVAN,AGB-AFZE-USA,F-Zero - Maximum Velocity (U),最高时速赛车 F-Zero – Maximum Velocity(UE)(Nintendo)
FP US,AGB-AFPE-USA,Fire Pro Wrestling (U),火炎职业摔跤 Fire Pro Wrestling(UE)(BAM!)
KRAZY RACERS,AGB-AKWP-EUR,Konami Krazy Racers (E),科拿米疯狂赛车手 Konami Krazy Racers(EU)(Konami)
R2RBOXING R2,AGB-AR2P-EUR,Ready 2 Rumble Boxing - Round 2 (E),暴力拳击2 Ready 2 Rumble Boxing – Round 2(EU)(M3)(Midway)
DRACULA AGB1,AGB-AAME-USA,Castlevania - Circle of the Moon (U),恶魔城-月之轮回 Castlevania – Circle of the Moon(US)(Konami)
RAYMAN,AGB-ARYE-USA,Rayman Advance (U),雷曼A Rayman Advance(US)(M5)(Ubi Soft)
TOGRE GAIDEN,AGB-ATOJ-JPN,Tactics Ogre Gaiden - The Knight of Lodis (J),皇家骑士团外传 Tactics Ogre Gaiden – The Knight of Lodis(JP)(Nintendo)
KURURIN,AGB-AKRP-EUR,Kuru Kuru Kururin (E),滚滚棒 Kurukuru Kururin(EU)(Nintendo)
TGGT-CHAMP,AGB-ATCP-EUR,Top Gear GT Championship (E),全日本顶级GT锦标赛车 Top Gear GT Championship(EU)(Kemco)
SUPER MARIOA,AGB-AMAE-USA,Super Mario Advance (E),超级马里奥A Super Mario Advance(UE)(Nintendo)
RAYMAN,AGB-ARYP-EUR,Rayman Advance (E),雷曼A Rayman Advance(EU)(M5)(Ubi Soft)
TWEETY MAGIC,AGB-ATMP-EUR,Tweety & The Magic Gems (E),托蒂的欢乐派对之不可思议的宝石 Tweety and the Magic Gems(EU)(Kemco)
TONY HAWK 2!,AGB-ATHD-DEU,Tony Hawk's Pro Skater 2 (G),托尼·霍克职业滑板2 Tony Hawk's Pro Skater 2(DE)(Activision)
Y-RHAPSODY,AGB-AYRJ-JPN,Yushun Rhapsody (J),优俊赛马 Narikiri Jockey Game – Yuushun Rhapsody(JP)(Capcom)
CQADVANCE,AGB-AQAJ-JPN,Choro Q Advance (J),Q版赛车A Choro Q Advance(JP)(Takara)
TOYROBOFORCE,AGB-ATRJ-JPN,Toy Robot Force (J),玩具机器人 Toyrobo Force(JP)(Global A)
HOT POTATO,AGB-AHPE-USA,Hot Potato! (U),火热的马铃薯! Hot Potato!(US)(BAM!)
BOMSTORYUSA,AGB-ABSE-USA,Bomberman Tournament (U),炸弹人传说 Bomberman Tournament(UE)(Activision)
TONY HAWK 2!,AGB-ATHF-FRA,Tony Hawk's Pro Skater 2 (F),托尼·霍克职业滑板2 Tony Hawk's Pro Skater 2(FR)(Activision)
BOF1,AGB-ABFJ-JPN,Breath of Fire (J),龙战士 Breath of Fire – Ryuu no Senshi(JP)(Capcom)
KCEJDM5EX1,AGB-AY5J-JPN,Yu-Gi-Oh! Duel Monsters 5 Expert 1 (J),游戏王5-双重恶魔 Yu-Gi-Oh! Duel Monsters 5 Expert 1(JP)(Konami)
SSF2XREVIVAL,AGB-AXRJ-JPN,Super Street Fighter II X Revival (J),街霸II X复苏 Super Street Fighter II X – Revival(JP)(Capcom)
MAHJONGKEIJI,AGB-AMPJ-JPN,Mahjong Detective (J),麻雀刑事 Mahjong Keiji(JP)(Hudson)
PACMANCOLLE,AGB-APCE-USA,Pac-Man Collection (U),小精灵全集 Pac-Man Collection(US)(Namco)
TWEETY MAGIC,AGB-ATMF-FRA,Titi et Les Bijoux Magiques (F),托蒂的欢乐派对之不可思议的宝石 Titi et les Bijoux Magiques(FR)(Kemco)
EX MONOPOLY,AGB-AMOJ-JPN,EX Monopoly (J),大富翁EX垄断 EX Monopoly(JP)(Takara)
KABUTO,AGB-AB7J-JPN,Our Breeding Series - My Beetle (J),大家一起养系列-我的甲虫 Minna no Shiiku Series 1 – Boku no Kabuto Mushi(JP)(MTO)
GETBACKERS,AGB-AGBJ-JPN,Get Backers - Jigoku no Sukaramushu (J),闪灵二人组 GetBackers Dakkanya – Jigoku no Scaramouche(JP)(Konami)
HEXCITE AGB,AGB-AJSJ-JPN,Space Hexcite X (J),宇宙战舰EX Space Hexcite – Maetel Legend EX(JP)(Jordan)
KLONOA,AGB-AKLJ-JPN,Klonoa - Empire of Dreams (J),风之克罗帝亚-梦见帝国 Kaze no Klonoa – Yumemiru Teikoku(JP)(Namco)
MARIO KART,AGB-AMKJ-JPN,Mario Kart Advance (J),马里奥赛车A超级巡回赛 Mario Kart Advance(JP)(Nintendo)
DORAEMON,AGB-ADRJ-JPN,Doraemon Midori No Wakusei (J),机器猫-绿之惑星拯救作战 Doraemon – Midori no Wakusei Dokidoki Daikyuushutsu!(JP)(Epoch)
JP3 THE DNA,AGB-ADNE-USA,Jurassic Park III - The DNA Factor (U),侏罗纪公园3-DNA基因 Jurassic Park III – The DNA Factor(US)(Konami)
KINNIKU AGB ,AGB-AK4J-JPN,Muscular Ranking (J),筋番付肉-金刚君的大冒险 Kinniku Banzuke – Kongou-kun no Daibouken!(JP)(Konami)
GOLFMASTER M,AGB-AGMJ-JPN,JGTO Golf Master Mobile (J),高尔夫达人 JGTO Kounin Golf Master Mobile – Japan Golf Tour Game(JP)(Konami)
ZEROTOURS,AGB-AZTJ-JPN,Mugen Kikou Zero Tours (J),零度旅行 Zero-Tours(JP)(Media Rings)
STARCOM,AGB-ASKJ-JPN,Suta Komi - Star Communicator (J),星际通讯战 Sutakomi – Star Communicator(JP)(Konami)
MB BASEBALL ,AGB-AMBJ-JPN,Mobile Pro Baseball (J),职业棒球-行动版 Mobile Pro Yakyuu – Kantoku no Saihai(JP)(Konami)
OugonTaiyo_A,AGB-AGSJ-JPN,Ougon no Taiyo (J),黄金的太阳-开启的封印 Ougon no Taiyou – Hirakareshi Fuuin(JP)(Nintendo)
DOKAPON-Q,AGB-ADQJ-JPN,Dokapon Q Monster Hunter (J),多卡邦Q怪物猎人! Dokapon Q – Monster Hunter!(JP)(Asmik)
KUWAGATA,AGB-AW7J-JPN,Our Breeding Series - My Ameba (J),大家一起养系列-我的变形虫 Minna no Shiiku Series 2 – Boku no Kuwagata(JP)(MTO)
JP3KYORYUNIA,AGB-AJ3J-JPN,Jurassic Park III - Park Builder (J),侏罗纪公园3-公园建设者 Jurassic Park III – Kyouryuu ni Ainiikou!(JP)(Konami)
FINAL FIGHT,AGB-AFFP-EUR,Final Fight One (E),快打旋风ONE Final Fight One(EU)(Capcom)
BASS ADVANCE,AGB-AABJ-JPN,Super Black Bass Advance (J),超级黑巴斯钓鱼 Super Black Bass Advance(JP)(Starfish)
MEINELIEBE,AGB-AYMJ-JPN,Meine Liebe (Angel League) (J),枕美梦想 Tanbi Musou – Meine Liebe(JP)(Konami)
MARIO KART,AGB-AMKE-USA,Mario Kart - Super Circuit (U),马里奥赛车超级巡回赛 Mario Kart – Super Circuit(US)(Nintendo)
KIWAME-MS21,AGB-AKMJ-JPN,Extreme Mahjong Deluxe - Terminator 21 (J),究级麻将-未来战士21杯 Kiwame Mahjong Deluxe – Mirai Senshi 21(JP)(Athena)
FORTRESS,AGB-AFOE-USA,Fortress (U),堡垒 Fortress(US)(Majesco Sales)
JP3 THE DNA,AGB-ADNP-EUR,Jurassic Park III - The DNA Factor (E),侏罗纪公园3-DNA基因 Jurassic Park III – The DNA Factor(EU)(M5)(Konami)
WARIOLAND,AGB-AWAJ-JPN,Wario Land 4 (J),瓦里奥世界4 Wario Land Advance(JP)(Nintendo)
TWEETY MAGIC,AGB-ATMD-DEU,Tweety and The Magic Gems (G),托蒂的欢乐派对之不可思议的宝石 Tweety and the Magic Gems(DE)(Kemco)
JP3ADVANCEDA,AGB-AJQJ-JPN,Jurassic Park III - Advanced Action (J),侏罗纪公园3高级行动-岛屿的进攻 Jurassic Park III – Advanced Action(JP)(Konami)
ESPN GOLF,AGB-AGRE-USA,ESPN Final Round Golf 2002 (U),ESPN高尔夫总决赛2002 ESPN Final Round Golf 2002(US)(Konami)
TANG TANG,AGB-ATAE-USA,Tang Tang (U),轰炸索罗门 Tang Tang(US)(Take 2)
ADVANCEWARS,AGB-AWRE-USA,Advance Wars (U),高级战争 Advance Wars(US)(Nintendo)
F14-TOMCAT,AGB-AFTE-USA,F-14 Tomcat (U),F-14雄猫 F-14 Tomcat(UE)(Majesco Sales)
LOVEHINAADVA,AGB-ALHJ-JPN,Love Hina Advance (J),纯情房东俏房客-祝福之钟声 Love Hina Advance – Shukufuku no Kane ha Naru Kana(JP)(MMV)
MEN IN BLACK,AGB-AMIP-EUR,Men in Black - The Series (E),黑超特警组 Men in Black – The Series(EU)(Crave Entertainment)
ESPN GOLF,AGB-AGRP-EUR,ESPN Final Round Golf (E),ESPN高尔夫总决赛 ESPN Final Round Golf(EU)(Konami)
MEDAROTNVKWG,AGB-AVIJ-JPN,Medarot Navi - Kuwagata Version (J),金属机器人大战-锹型虫版 Medarot Navi – Kuwagata(JP)(Imagineer)
MEDAROTNVKBT,AGB-ANAJ-JPN,Medarot Navi - Kabuto Version (J),金属机器人大战-甲胄版 Medarot Navi – Kabuto(JP)(Imagineer)
ATLANTIS,AGB-ATLE-USA,Atlantis - The Lost Empire (U),亚特兰帝斯-失落的帝国 Atlantis – The Lost Empire(US)(THQ)
JP3PARKBUILD,AGB-AJ3P-EUR,Jurassic Park III - Park Builder (E),侏罗纪公园3-公园建设者 Jurassic Park III – Park Builder(EU)(M5)(Konami)
TETRISWORLDS,AGB-ATWE-USA,Tetris Worlds (U),俄罗斯方块 Tetris Worlds(US)(THQ)
MARIO KART,AGB-AMKP-EUR,Mario Kart - Super Circuit (E),马里奥赛车超级巡回赛 Mario Kart – Super Circuit(EU)(Nintendo)
ROBOPON2RING,AGB-ARPJ-JPN,Robot Ponkotto 2 - Ring Version (J),机甲宝贝兵2-铃铛版 Robot Ponkottsu 2 – Ring Version(JP)(Hudson)
ROBOPON2CROS,AGB-ACVJ-JPN,Robot Ponkotto 2 - Cross Version (J),机甲宝贝兵2-十字版 Robot Ponkottsu 2 – Cross Version(JP)(Hudson)
NFLBLITZ2002,AGB-ABZE-USA,NFL Blitz 2002 (U),NFL橄榄球闪电大作战2002 NFL Blitz 20-02(US)(Midway)
GENSOU-CARD1,AGB-AGKJ-JPN,Gensou Suikoden Card Stories (J),幻想水浒传-卡片传说 Gensou Suikoden – Card Stories(JP)(Konami)
ESPN XG SK8B,AGB-AXSE-USA,ESPN X-Games - Skateboarding (U),ESPN X竞技滑板 ESPN X-Games Skateboarding(US)(Konami)
SRWA,AGB-ASRJ-JPN,Super Robot Taisen A (J),超级机器人大战A Super Robot Taisen A(JP)(Banpresto)
DREAMSCHEME,AGB-ARKE-USA,Rocket Power - Dream Scheme (U),急速动力-梦之计划 Rocket Power – Dream Scheme(US)(THQ)
KLONOA,AGB-AKLE-USA,Klonoa - Empire of Dreams (U),风之克罗帝亚-梦见帝国 Klonoa – Empire of Dreams(US)(Namco)
JP3PARKBUILD,AGB-AJ3E-USA,Jurassic Park III - Park Builder (U),侏罗纪公园3-公园建设者 Jurassic Park III – Park Builder(US)(Konami)
SPIDERMAN MM,AGB-ASEE-USA,Spider-Man - Mysterio's Menace (U),蜘蛛人-未知的威胁 Spider-Man – Mysterio's Menace(UE)(Activision)
CAESARPALACE,AGB-ACPE-USA,Caesar's Palace Advance - Millennium Gold Edition (U),凯撒的宫殿A Caesars Palace Advance(UE)(Majesco Sales)
FO9DG01A,AGB-AF9J-JPN,Field of Nine Digital Edition 2001 (J),九局战场-数位版2001 Field of Nine – Digital Edition 2001(JP)(Konami)
BACKTRACK,AGB-ABKE-USA,Backtrack (U),撤退 BackTrack(UE)(Telegames)
MORITASHOGI,AGB-AMSJ-JPN,Morita Shogi Advance (J),森田将棋 Morita Shougi Advance(JP)(Hudson)
CASTLECAPERS,AGB-ARGE-USA,Rugrats - Castle Capers (U),小淘气-跳跃城堡 Rugrats – Castle Capers(US)(THQ)
PRTF,AGB-APRE-USA,Power Rangers - Time Force (U),强力突击队员 Power Rangers – Time Force(US)(THQ)
Z.O.E 2173,AGB-AZEJ-JPN,Z.O.E. 2173 Testament (J),星域毁灭者2173-遗嘱 Z.O.E. 2173 – Testament(JP)(Konami)
LADY SIA,AGB-ALDP-EUR,Lady Sia (E),女神战士-西雅 Lady Sia(EU)(M6)(TDK)
HH MLB 2002,AGB-ASSE-USA,High Heat - Major League Baseball 2002 (U),爆裂棒球2002 High Heat Major League Baseball 2002(US)(3DO)
XMENROA,AGB-AXME-USA,X-Men - Reign of Apocalypse (U),X战警-启示录 X-Men – Reign of Apocalypse(UE)(Activision)
DLDEESASTER,AGB-ADLE-USA,Dexter's Laboratory - Deesaster Strikes! (U),德克斯特幸运的实验室! Dexter's Laboratory – Deesaster Strikes!(US)(M5)(BAM!)
MX 2002,AGB-A2XE-USA,MX 2002 Featuring Ricky Carmichael (U),MX2002未来机车赛 MX 2002 featuring Ricky Carmichael(UE)(THQ)
FINAL FIGHT,AGB-AFFE-USA,Final Fight One (U),快打旋风ONE Final Fight One(US)(Capcom)
NOBUNAGA,AGB-ANBJ-JPN,Nobunaga no Yabou (J),信长的野望 Nobunaga no Yabou(JP)(Koei)
LEGO BIONICL,AGB-ALBE-USA,Lego Bionicle (U),乐高荒岛探险 LEGO Bionicle(US)(M2)(LEGO Media)
LEGO ISLAND,AGB-AL2E-USA,Lego Island 2 - The Brickster's Revenge (U),乐高积木岛2 LEGO Island 2 – The Brickster's Revenge(US)(M2)(LEGO Media)
KIKIKAIKAIGA,AGB-AKIJ-JPN,Kiki Kaikai Advance (J),奇奇怪界 Kiki Kaikai Advance(JP)(Altron)
SNOOD,AGB-ASQE-USA,Snood (U),怪投射波 Snood(US)(Destination Software)
SIFKBASEBALL,AGB-AKBE-USA,Sports Illustrated For Kids - Baseball (U),儿童运动画刊-棒球 Sports Illustrated for Kids – Baseball(US)(BAM!)
HATENASATENA,AGB-AHSJ-JPN,Hatena Satena (J),机智解迷 Hatena Satena(JP)(Hudson)
CHIMP CHASE,AGB-AWTE-USA,The Wild Thornberrys - Chimp Chase (U),"狂野棘林-猎杀黑猩猩 Wild Thornberrys, The – Chimp Chase(US)(THQ)"
SCOOBY CYBER,AGB-ASDE-USA,Scooby-Doo and the Cyber Chase (U),史诺比鬼屋历险 Scooby-Doo and the Cyber Chase(US)(THQ)
SIFKFOOTBALL,AGB-AKFE-USA,Sports Illustrated For Kids - Football (U),儿童运动画刊-足球 Sports Illustrated for Kids – Football(US)(BAM!)
BOXEM,AGB-ABOE-USA,Boxing Fever (U),狂热拳击 Boxing Fever(UE)(Majesco Sales)
GYAKUTEN_SAI,AGB-ASBJ-JPN,Gyakuten Saiban (J),逆转裁判1 Gyakuten Saiban(JP)(Capcom)
LEGO ISLAND,AGB-AL2P-EUR,Lego Island 2 - The Brickster's Revenge (E),乐高积木岛2 LEGO Island 2 – The Brickster's Revenge(EU)(M8)(LEGO Media)
LADY SIA,AGB-ALDE-USA,Lady Sia (U),女神战士-西雅 Lady Sia(US)(M6)(TDK)
MINNADE PUYO,AGB-APYJ-JPN,Minna de Puyo Puyo (J),魔法气泡大会战 Minna de Puyo Puyo(JP)(M2)(Sega)
TOTAL SOCCER,AGB-ATUP-EUR,Steven Gerrard's Total Soccer 2002 (E),史蒂文·甲尔德足球2002 Total Soccer(EU)(M6)(Ubi Soft)
DENKIBLOCKS!,AGB-ADBP-EUR,Denki Blocks! (E),合并方块! Denki Blocks!(EU)(M5)(Denki)
PREHISTO MAN,AGB-APHE-USA,Prehistorik Man (E),摩登原始人 Prehistorik Man(UE)(M6)(Titus)
K/TMIRACLEFA,AGB-AKTJ-JPN,Hello Kitty Collection Miracle (J),凯蒂猫游戏精选-流行创造者 Eeprom_v121(JP)(Imagineer)
ESL_SOCCER,AGB-AELP-EUR,European Super League (E),欧洲超级联盟足球赛 European Super League(EU)(M5)(Electronic Arts)
PHALANX,AGB-APXJ-JPN,Phalanx - The Enforce Fighter A-144 (J),银河战机 Phalanx – The Enforce Fighter A-144(JP)(Kemco)
NAKAYOSHI-KR,AGB-AKPJ-JPN,Nakayoshi Mahjan Kaburiichi (J),友情麻将 Nakayoshi Mahjong – Kaburiichi(JP)(Konami)
HAMSTAR2,AGB-AHBJ-JPN,Hamster Monogatari 2 (J),仓鼠物语2 Hamster Monogatari 2 GBA(JP)(Culture Brain)
ESPN XG SK8B,AGB-AXSJ-JPN,ESPN X-Games - Skateboarding (J),ESPN X游戏溜冰板 ESPN X-Games Skateboarding(JP)(Konami)
LEGO BIONICL,AGB-ALBP-EUR,Lego Bionicle (E),乐高荒岛冒险 LEGO Bionicle(EU)(M8)(LEGO Media)
"MONSTERS,INC",AGB-AMXE-USA,Monsters Inc. (U),"怪兽公司 Monsters, Inc.(US)(THQ)"
AGB-DOOM,AGB-ADME-USA,Doom (U),DOOM-毁灭战士 Doom(UE)(Activision)
YAKUMAN,AGB-AYAJ-JPN,Dokodemo Taikyoku Yakuman Advance (J),随身对局役满 Dokodemo Taikyoku – Yakuman Advance(JP)(Nintendo)
TANG TANG,AGB-ATAP-EUR,Tang Tang (E),轰炸索罗门 Tang Tang(EU)(M6)(Take 2)
LUCKY LUKE W,AGB-ALLP-EUR,Lucky Luke - Wanted! (E),幸运枪手路克-通缉犯 Lucky Luke – Wanted!(EU)(M6)(Infogrames)
SPYRO,AGB-ASYP-EUR,Spyro - Season of Ice (E),小龙斯派罗-冰冻的季节 Spyro – Season of Ice(EU)(M5)(Vivendi)
SPYRO,AGB-ASYE-USA,Spyro - Season of Ice (U),小龙斯派罗-冰冻的季节 Spyro – Season of Ice(US)(Vivendi)
BATMAN-VENGE,AGB-ABTE-USA,Batman Vengeance (U),蝙蝠侠-复仇 Batman Vengeance(US)(M3)(Ubi Soft)
SSF2TREVIVAL,AGB-AXRP-EUR,Super Street Fighter II Turbo Revival (E),超级街霸II-复苏 Super Street Fighter II Turbo – Revival(EU)(Capcom)
KAOTHEKANGAR,AGB-AKKE-USA,Kao the Kangaroo (U),小小袋鼠闯天关 Kao the Kangaroo(US)(M6)(Titus)
WWF_ROAD_WM,AGB-AWFE-USA,WWF - Road to Wrestlemania (U),WWF摔跤之路 WWF – Road to WrestleMania(UE)(THQ)
MEGAMAN_BN,AGB-AREE-USA,MegaMan Battle Network (U),洛克人-网络战斗EXE1 Megaman Battle Network(US)(Capcom)
GADGETRACERS,AGB-AQAE-USA,Gadget Racers (U),Q版赛车A Gadget Racers(US)(Conspiracy)
GRADIUSADVAN,AGB-AGAP-EUR,Gradius Advance (E),沙罗曼蛇A Gradius Advance(EU)(Konami)
MMBLAST,AGB-AMLE-USA,M&M's Blast! (U),M&M's巧克力旋风 M&M's Blast!(US)(Majesco Sales)
WARIOLANDE,AGB-AWAE-USA,Wario Land 4 (E),瓦里奥世界4 Wario Land 4(UE)(Nintendo)
HIKARUNOGO,AGB-AHKJ-JPN,Hikaru no Go (J),棋灵王 Hikaru no Go(JP)(Konami)
Golden_Sun_A,AGB-AGSE-USA,Golden Sun (U),黄金的太阳-开启的封印 Golden Sun(UE)(Nintendo)
DONALD DUCK,AGB-ADKP-EUR,Donald Duck Advance (E),唐老鸭冒险 Donald Duck Advance(EU)(M5)(Ubi Soft)
HARRY POTTER,AGB-AHRE-USA,Harry Potter and the Sorcerer's Stone (U),哈利波特神秘的魔法石 Harry Potter and the Sorcerer's Stone(UE)(M12)(Electronic Arts)
BATMAN-VENGE,AGB-ABTP-EUR,Batman Vengeance (E),蝙蝠侠-复仇 Batman Vengeance(EU)(M6)(Ubi Soft)
JACKIECHANDH,AGB-AJCE-USA,Jackie Chan Adventures - Legend of the Dark Hand (U),成龙冒险-黑手党传说 Jackie Chan Adventures – Legend of the Darkhand(UE)(Activision)
ALIENATORS,AGB-AEVE-USA,Alienators - Evolution Continues (U),进化特区 Alienators – Evolution Continues(US)(Activision)
SBSP SS,AGB-ASPE-USA,SpongeBob SquarePants - SuperSponge (U),超级海绵-笨伯 SpongeBob SquarePants – SuperSponge(US)(THQ)
JIMMYNEUTRON,AGB-AJNE-USA,Jimmy Neutron - Boy Genius (U),天才男孩-吉米 Jimmy Neutron – Boy Genius(US)(THQ)
INSPECTOR GA,AGB-AIGP-EUR,Inspector Gadget - Advance Mission (E),神探佳杰特-高级任务 Inspector Gadget – Advance Mission(EU)(M6)(LSP)
TWEETY MAGIC,AGB-ATME-USA,Tweety and The Magic Gems (U),托蒂的欢乐派对之不可思议的宝石 Tweety and the Magic Gems(US)(Kemco)
JEDIPOWERBAT,AGB-ASWE-USA,Star Wars - Jedi Power Battles (U),星际大战首部曲-绝地武士 Star Wars – Jedi Power Battles(US)(THQ)
MIDNIGHTCLUB,AGB-AMQE-USA,Midnight Club - Street Racing (U),港湾深夜俱乐部-街头狂飙 Midnight Club – Street Racing(US)(Destination Software)
MH PRO BMX,AGB-AHOE-USA,Mat Hoffman's Pro BMX (U),马特·霍夫曼-自行车越野赛 Mat Hoffman's Pro BMX(US)(Activision)
RAZOR FREEST,AGB-ARFE-USA,Razor Freestyle Scooter (U),劲爆单脚滑行车 Razor Freestyle Scooter(US)(Crave Entertainment)
BUSTAMOVEGBA,AGB-ABMP-EUR,Super Bust-A-Move (E),超级泡泡龙 Super Bust-A-Move(EU)(M5)(Ubi Soft)
DOKAPON,AGB-ADQE-USA,Dokapon - Monster Hunter (U),多卡邦怪物猎人 Dokapon(US)(Asmik)
I.S.S. AGB  ,AGB-AISP-EUR,International Superstar Soccer (E),国际超级足球赛 International Superstar Soccer(EU)(Konami)
ATLANTIS,AGB-ATLX-EUU,Atlantis - The Lost Empire (E),亚特兰帝斯-失落的帝国 Atlantis – The Lost Empire(EU)(M6)(THQ)
4V4 ARASHI,AGB-A4VJ-JPN,4V4 Arashi Get The Goal (J),友情足球-4V4岚 Yuujou no Victory Goal 4v4 Arashi – Get the Goal!!(JP)(Konami)
NANCYDREWMHM,AGB-ANDE-USA,Nancy Drew - Message in a Haunted Mansion (U),南茜·德鲁-鬼屋里的讯息 Nancy Drew – Message in a Haunted Mansion(US)(Dreamcatcher)
