Internalname,Serial,EngGamename,ChiGamename
PDA4AGB,AGB-PDA1-XXX,Personal Data Assistant for Gameboy Advance (U),个人商务PDA Personal Data Assistant for Gameboy Advance(US)(Nintendo)
GGXAE,AGB-AGXE-USA,Guilty Gear X - Advance Edition (U),罪恶客星X Guilty Gear X – Advance Edition(US)(Sammy)
SHINING SOUL,AGB-AU2P-EUR,Shining Soul II (E),光明之魂2 Shining Soul II(EU)(M5)(Sega)
PANDORATOMOR,AGB-BSLP-EUR,Tom Clancy's Splinter Cell - Pandora Tommorow (E),分裂细胞明日潘多拉 Tom Clancy's Splinter Cell – Pandora Tomorrow(EU)(M6)(Ubi Soft)
ONEPIEBASEBA,AGB-B08J-JPN,One Piece Going Baseball (J),海贼王热血棒球 One Piece – Going Baseball(JP)(Bandai)
ALADDIN,AGB-BADP-EUR,Disney's Aladdin (E),迪斯尼-阿拉丁 Aladdin(EU)(M4)(Capcom)
POPIDOL,AGB-BIDP-EUR,Pop Idol (E),美国偶像超巨星节拍 Pop Idol(EU)(Codemasters)
SABREWULFTHQ,AGB-AWUP-EUR,Sabre Wulf (E),剑齿虎 Sabre Wulf(EU)(M3)(THQ)
TAK&JUJUMULT,AGB-BJUP-EUR,Tak And The Power Of JuJu (E),塔克和符咒的神力 Tak and the Power of Juju(EU)(M3)(THQ)
THE CAT IN T,AGB-AQTP-EUR,Dr. Seuss' - The Cat in the Hat (E),爱戴帽子的猫博士 Dr. Seuss' The Cat in the Hat(EU)(M5)(Vivendi)
SWORD OF MAN,AGB-AVSX-EUU,Sword Of Mana (E),新约圣剑传说 Sword of Mana(EU)(M2)(Nintendo)
YUGIOU SUGO,AGB-BYSJ-JPN,Yu-Gi-Oh! - Sugoroku no Sugoroku (J),游戏王 双六的骰子 Yu-Gi-Oh! Sugoroku no Sugoroku(JP)(Konami)
SCOOBY-DOO_2,AGB-BMUE-USA,Scooby-Doo 2 - Monsters Unleashed (U),史酷比2-脱缰的怪物 Scooby-Doo 2 – Monsters Unleashed(UE)(THQ)
RTYPE III,AGB-BR3E-USA,R-Type III (U),R飞行队III R-Type III – The Third Lightning(US)(Destination Software)
BATTLECHIPGP,AGB-A89P-EUR,Megaman Battle Chip Challenge (E),洛克人EXE战斗芯片锦标赛 Megaman – Battle Chip Challenge(EU)(Capcom)
DRAGON BALLZ,AGB-BDBP-EUR,Dragon Ball Z - Taiketsu (E),龙珠Z-对决 Dragon Ball Z – Taiketsu(EU)(M5)(Atari)
MAX ADVANCE,AGB-BMEP-EUR,Max Payne Advance (E),英雄本色-马克思·佩恩 Max Payne Advance(EU)(M3)(RockStar)
SWORD OF MAN,AGB-AVSY-EUU,Sword of Mana (E),新约圣剑传说 Sword of Mana(EU)(M2)(Nintendo)
M&D MAGICAL3,AGB-BMQP-EUR,Disney's Magical Quest 3 Starring Mickey and Donald (E),迪斯尼-米老鼠 & 唐老鸭3 Magical Quest 3 Starring Mickey & Donald(EU)(M3)(Capcom)
WADE HIXTONS,AGB-BSRE-USA,Wade Hixtons Counter Punch (U),维德-汉克斯的反击 Wade Hixton's Counter Punch(UE)(Destination Software)
TANTEI-Q2,AGB-BTIJ-JPN,Tantei Gakuen Q - Kyukyoku Trick ni Idome (J),侦探学院Q-挑战最强诡计 Tantei Gakuen Q – Kyukyoku Trick ni Idome(JP)(Konami)
PICHIPICHI02,AGB-B3MJ-JPN,Mermaid Melody - Pichi Pichi Picchi Pichi Pichitto Live Start (J),美人鱼之韵 活力之舞 活力现场演奏会 Mermaid Melody – Pichi Pichi Picchi Pichi Pichitto Live Start(JP)(Konami)
DRAGONBLBKTG,AGB-AZJJ-JPN,Dragon Ball Z - Bukuu Tougeki (J),龙珠Z-舞空斗剧 Dragon Ball Z – Bukuu Tougeki(JP)(Banpresto)
DOUBLEDRAGON,AGB-BDDJ-JPN,Double Dragon Advance (J),双截龙 Double Dragon Advance(JP)(Atlus)
03:IP@2960,AGB-BS3J-JPN,Simple 2960 Vol. 3 - The Itsudemo Puzzle (J),简单2960第三集-2960迷题集 Simple 2960 – Vol. 3 The Itsudemo Puzzle(JP)(D3)
HAGANERONDO,AGB-BHRJ-JPN,Full Metal Alchemist (J),钢之炼金术士 迷走之轮舞曲 Hagane no Renkinjutsushi – Meisou no Rondo(JP)(Bandai)
FRANKLIN,AGB-BFKP-EUR,Franklin the Turtle (E),海龟富兰克林 Franklin the Turtle(EU)(M8)(The Game Factory)
HARVESTMOGBA,AGB-A4NP-EUR,Harvest Moon - Friends of Mineral Town (E),牧场物语-矿石镇的朋友们 Harvest Moon – Friends of Mineral Town(EU)(Natsume)
PPG MOJOGOGO,AGB-APTP-EUR,The Powerpuff Girls - Mojo JoJo A-Go-Go (E),"喷气女孩-魔女啾啾Go Powerpuff Girls, The – Mojo JoJo A-Go-Go(EU)(M6)(BAM!)"
DLDEESASTER,AGB-ADLP-EUR,Dexter's Laboratory - Deesaster Strikes (E),德克斯特幸运的实验室! Dexter's Laboratory –? Deesaster Strikes!(EU)(M5)(BAM!)
YWCT2004EUR,AGB-BYWP-EUR,Yu-Gi-Oh! - World Championship Tournament 2004 (E),游戏王-世界锦标赛2004 Yu-Gi-Oh! World Championship Tournament 2004(EU)(M6)(Konami)
JUNGLE BOOK,AGB-AJFE-USA,Disney's The Jungle Book (U),"丛林之书 Jungle Book, The(US)(M6)(Ubi Soft)"
STREETJAM,AGB-A3ZE-USA,Street Jam Basketball (U),街头篮球 Street Jam Basketball(UE)(Destination Software)
DUELMASTERS2,AGB-BD2J-JPN,Duel Masters 2 (J),卡片对决高手2 Duel Masters 2 – Invisible Advance(JP)(Takara)
LILLIPUT,AGB-BRPJ-JPN,Liliput Oukoku (J),小人国游记 Liliput Oukoku(JP)(Sega)
BO_BOBO3_GBA,AGB-BB9J-JPN,Boboboubo Boubobo - 9 Kiwame Senshi Gyagu Yuugou (J),9极战士-恶搞融合 Boboboubo Boubobo – 9 Kyoku Senshi Gag Yuugou(JP)(Hudson)
DIGIMONRACIN,AGB-BDJJ-JPN,Digimon Racing (J),数码宝贝赛车 Digimon Racing(JP)(Bandai)
